Date, Close/Last, Volume, Open, High, Low
12/29/2017,$40.99,6578548,$41.52,$41.59,$40.99
12/28/2017,$41.38,5004763,$41.34,$41.44,$41.20
12/27/2017,$41.31,4932813,$41.76,$41.85,$41.30
12/26/2017,$41.80,3369417,$41.86,$42.09,$41.63
12/22/2017,$42.02,4899881,$42.30,$42.31,$41.81
12/21/2017,$42.16,10143640,$42.58,$42.75,$42.13
12/20/2017,$42.52,8636499,$42.74,$42.78,$42.39
12/19/2017,$42.49,13240690,$42.71,$42.80,$42.44
12/18/2017,$42.15,22134340,$41.27,$42.32,$41.25
12/15/2017,$40.95,24465420,$40.92,$41.33,$40.92
12/14/2017,$40.81,9275401,$41.38,$41.44,$40.70
12/13/2017,$41.40,9968177,$41.54,$41.91,$41.39
12/12/2017,$41.53,8820947,$41.65,$41.77,$41.26
12/11/2017,$41.67,14098040,$41.88,$41.93,$41.56
12/08/2017,$42.02,13658320,$42.26,$42.30,$41.84
12/07/2017,$42.02,16450020,$41.71,$42.39,$41.54
12/06/2017,$42.15,12866140,$42.57,$42.69,$42.14
12/05/2017,$42.80,11288240,$43.01,$43.06,$42.52
12/04/2017,$43.05,14009340,$43.20,$43.42,$42.92
12/01/2017,$35.55,19323310,$35.30,$35.86,$34.97
11/30/2017,$43.09,32483060,$44,$44.53,$42.70
11/29/2017,$43.81,19427650,$45.10,$45.35,$43.79
11/28/2017,$44.92,15931190,$44.35,$45.08,$44.14
11/27/2017,$44.17,8651184,$44.47,$44.49,$43.88
11/24/2017,$44.46,3805890,$44.45,$44.54,$44.24
11/22/2017,$44.29,9836658,$44.89,$44.95,$44.21
11/21/2017,$44.97,11970820,$45.07,$45.18,$44.66
11/20/2017,$44.88,15080350,$44.48,$45.09,$44.26
11/17/2017,$43.88,10594220,$43.53,$44.14,$43.49
11/16/2017,$43.60,11247360,$43.04,$43.63,$42.80
11/15/2017,$42.86,13618110,$42.73,$43.04,$42.10
11/14/2017,$43,9433176,$43.15,$43.45,$42.74
11/13/2017,$43.57,11730070,$42.60,$43.63,$42.55
11/10/2017,$42.66,14099160,$42.14,$43,$42.06
11/09/2017,$42.11,8896895,$42.04,$42.16,$41.62
11/08/2017,$42.11,14218280,$41.86,$42.12,$41.53
11/07/2017,$41.70,8878235,$42.15,$42.41,$41.59
11/06/2017,$42.14,14172780,$42.30,$42.36,$41.35
11/03/2017,$42.34,9848211,$42.60,$42.73,$42.19
11/02/2017,$42.60,11989540,$43.30,$43.30,$42.46
11/01/2017,$43.13,14684950,$42.72,$43.37,$41.90
10/31/2017,$42.98,13238600,$43.23,$43.67,$42.96
10/30/2017,$43.37,23773210,$43.04,$43.81,$42.26
10/27/2017,$44.64,11874690,$45.14,$45.17,$44.10
10/26/2017,$45.25,9649594,$45.19,$45.64,$45.10
10/25/2017,$45.12,18057070,$45.70,$45.97,$44.77
10/24/2017,$46.48,27871680,$45.91,$46.76,$45.72
10/23/2017,$45.15,10754960,$45.54,$45.81,$45.15
10/20/2017,$45.61,12178840,$45.50,$45.73,$45.14
10/19/2017,$45.35,12891390,$44.75,$45.40,$44.56
10/18/2017,$45.12,10875730,$45.28,$45.59,$45.03
10/17/2017,$45.02,14070460,$45.80,$46.06,$44.96
10/16/2017,$45.76,8840263,$45.77,$45.86,$45.35
10/13/2017,$45.88,13929430,$45.28,$46.11,$45
10/12/2017,$44.89,15716400,$44.97,$45.43,$44.15
10/11/2017,$45.47,13348040,$45.30,$45.59,$45.08
10/10/2017,$45.21,14025760,$45.29,$45.40,$44.86
10/09/2017,$45.33,10923430,$45.03,$45.43,$44.93
10/06/2017,$44.93,20915860,$44.04,$45.17,$44
10/05/2017,$43.85,16629720,$43.90,$44.08,$43.68
10/04/2017,$43.78,13400430,$43.35,$43.94,$43.20
10/03/2017,$43.45,31033050,$43.12,$43.70,$43
10/02/2017,$42.15,33796840,$41.01,$42.48,$40.80
09/29/2017,$40.38,8904598,$40.56,$40.67,$40.27
09/28/2017,$40.58,9644816,$40.48,$40.58,$40.37
09/27/2017,$40.58,9701743,$40.31,$40.69,$40.16
09/26/2017,$40.26,13151290,$40.33,$40.62,$40.18
09/25/2017,$40.30,21541420,$40.19,$40.64,$40
09/22/2017,$39.42,12666920,$39.30,$39.54,$39.18
09/21/2017,$39.10,13810450,$38.86,$39.24,$38.86
09/20/2017,$38.88,12392890,$38.86,$39,$38.69
09/19/2017,$38.70,11545750,$38.54,$38.87,$38.54
09/18/2017,$38.59,12360150,$38.90,$38.98,$38.55
09/15/2017,$38.88,25351030,$38.74,$39.03,$38.64
09/14/2017,$38.79,17518460,$38.19,$39.18,$38.11
09/13/2017,$38.21,10608790,$37.88,$38.28,$37.82
09/12/2017,$37.89,10760490,$37.41,$38,$37.35
09/11/2017,$37.35,13489730,$37.11,$37.48,$37.04
09/08/2017,$37,8155007,$36.80,$37.04,$36.62
09/07/2017,$36.91,14327500,$37.40,$37.43,$36.70
09/06/2017,$37.67,12346160,$37.51,$37.74,$37.33
09/05/2017,$37.23,12737060,$37.29,$37.43,$36.87
09/01/2017,$37.36,17969240,$36.73,$37.75,$36.65
08/31/2017,$36.54,13568900,$35.90,$36.74,$35.90
08/30/2017,$35.82,7248755,$35.54,$35.84,$35.41
08/29/2017,$35.52,5519788,$35.35,$35.55,$35.21
